time,Negative,Neutral,Positive
2020-01-01,4103,6233,5456
2020-01-16,0,0,0
2020-01-31,1708,2430,1828
2020-02-15,0,0,0
2020-03-01,3709,6665,4105
2020-03-16,8997,6219,9815
2020-03-31,9231,12959,11652
2020-04-15,7345,10096,7860
2020-04-30,5321,7797,6335
2020-05-15,11036,13397,12439
2020-05-30,10046,9772,7916
2020-06-14,1116,2043,1079
2020-06-29,2705,3220,2669
2020-07-14,7162,12463,10364
2020-07-29,3520,4950,3833
2020-08-13,9421,16617,12254
2020-08-28,8854,12045,8637
2020-09-12,8582,10211,6119
2020-09-27,8361,12922,8675
2020-10-12,13854,19337,13200
2020-10-27,3906,6039,4872
2020-11-11,0,0,0
2020-11-26,4128,6512,5502
